재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
Carbon Steel,101.6,3.05,12.013,88.567,60.59,116976
Stainless Steel 304,38.1,1.65,3.012,4.524,20.44,25058
Carbon Steel,76.2,2.11,5.971,23.008,28.16,33187
HDPE,38.1,3.56,6.023,2.23,20.92,8071
PVC,38.1,1.65,3.016,0.79,11.89,4484
Carbon Steel,76.2,3.05,5.995,32.808,32.95,45594
Copper,38.1,1.65,8.977,14.878,41.58,186732
PVC,25.4,3.38,11.971,3.912,35.14,14957
Carbon Steel,25.4,3.38,9.01,16.261,41.22,26455
HDPE,152.4,2.77,9.012,11.151,31.52,25295
Carbon Steel,50.8,1.65,12.041,24.044,49.93,38084
Stainless Steel 304,38.1,2.77,3.026,7.352,25.34,37211
Stainless Steel 304,101.6,5.74,11.968,165.198,76.87,757815
PVC,38.1,2.77,3.026,1.319,12.14,4319
HDPE,152.4,3.4,11.973,17.744,42.15,39043
Stainless Steel 304,25.4,3.38,8.956,16.723,48.91,83897
Stainless Steel 304,203.2,3.96,2.974,57.852,33.1,265729
Stainless Steel 316,304.8,9.53,8.996,638.083,92.37,3525628
Copper,76.2,3.05,2.973,18.727,23.63,228859
Stainless Steel 304,25.4,2.77,8.992,14.201,53.26,73391
Stainless Steel 304,101.6,3.05,3.028,22.707,30.38,107162
Carbon Steel,25.4,3.38,12.022,22.188,50.82,35449
Carbon Steel,101.6,2.11,12.032,63.464,50.37,85702
Stainless Steel 304,203.2,7.04,12.021,423.157,82.97,1919324
Carbon Steel,101.6,2.11,2.977,15.578,19.03,22379
Stainless Steel 316,50.8,2.77,11.976,39.989,68.66,232085
Carbon Steel,76.2,2.11,11.964,45.884,51.11,64264
HDPE,25.4,1.65,5.958,0.7,16.44,4765
Carbon Steel,25.4,2.77,8.988,13.923,36.18,23301
Stainless Steel 316,38.1,1.65,12.038,18.275,61.82,111316
Stainless Steel 304,38.1,2.77,8.96,22.259,49.18,109223
PVC,38.1,2.77,6.019,2.588,20.41,9264
Carbon Steel,25.4,3.38,9.033,16.723,43.53,27637
Stainless Steel 304,76.2,2.11,9.049,35.547,50.66,169364
Stainless Steel 316,25.4,3.38,11.989,22.557,63.97,135122
Carbon Steel,101.6,3.05,9.004,67.46,41.66,88336
PVC,152.4,6.35,11.962,48.212,40.14,113473
Carbon Steel,25.4,2.77,6.025,9.34,29.37,16276
Stainless Steel 316,101.6,2.11,6.046,31.21,44.42,180066
HDPE,50.8,3.91,12.032,6.736,35.31,17507
PVC,76.2,5.16,2.969,4.724,16.67,13822
PVC,38.1,3.56,3.048,1.652,13.41,5829
Carbon Steel,38.1,2.77,9.015,21.708,40.78,33467
Carbon Steel,152.4,3.4,12.036,149.376,49.0,187636
Carbon Steel,50.8,2.77,8.997,29.47,39.58,42327
Carbon Steel,76.2,2.11,11.968,44.664,54.58,63328
Stainless Steel 304,76.2,5.16,12.04,111.125,81.68,515135
HDPE,101.6,5.74,9.0,14.985,32.56,33206
Stainless Steel 304,203.2,3.96,12.043,236.493,76.2,1078171
Stainless Steel 304,25.4,2.77,6.046,9.509,35.82,49107
Stainless Steel 304,76.2,2.11,9.033,36.059,51.77,171370
Stainless Steel 304,50.8,2.77,11.957,39.711,66.03,190996
Carbon Steel,203.2,2.77,9.046,122.307,43.28,155013
Stainless Steel 316,50.8,2.77,12.035,40.241,65.39,233974
Carbon Steel,50.8,1.65,12.019,23.834,49.37,37431
HDPE,101.6,2.11,12.032,7.57,33.48,19463
Copper,101.6,3.05,5.956,50.508,37.47,613761
PVC,25.4,1.65,2.995,0.52,9.12,2536
Carbon Steel,38.1,3.56,11.968,36.381,46.67,52244
HDPE,38.1,3.56,5.96,2.201,21.05,8522
Galvanized Steel,25.4,2.77,8.987,13.738,41.32,27838
Copper,101.6,2.11,6.044,35.603,35.28,434268
Copper,25.4,3.38,11.953,25.004,61.39,311052
Stainless Steel 316,101.6,5.74,5.988,82.493,50.66,462821
Carbon Steel,76.2,5.16,12.033,109.632,56.38,141256
HDPE,152.4,2.77,11.994,14.59,38.9,34026
Stainless Steel 316,25.4,3.38,12.006,22.241,71.89,135257
Carbon Steel,50.8,3.91,6.031,27.185,32.16,38524
Carbon Steel,203.2,3.96,12.02,236.17,62.75,294788
Stainless Steel 304,25.4,2.77,3.01,4.688,23.87,25055
Carbon Steel,50.8,3.91,11.95,53.601,53.3,74336
Stainless Steel 304,254.0,3.4,5.96,129.133,53.59,590672
Carbon Steel,38.1,2.77,6.028,14.53,27.89,21930
Stainless Steel 304,38.1,2.77,9.025,22.381,49.12,109651
PVC,38.1,3.56,6.022,3.252,21.51,11060
Carbon Steel,152.4,3.4,11.983,148.325,59.25,188987
Stainless Steel 304,76.2,3.05,12.039,67.709,68.12,317138
Copper,50.8,3.91,5.96,30.92,41.77,378093
Carbon Steel,38.1,2.77,8.998,22.004,35.12,32953
HDPE,304.8,9.53,9.022,76.172,44.45,146092
Carbon Steel,152.4,6.35,9.043,204.161,51.61,254139
Stainless Steel 316,152.4,6.35,5.972,139.591,60.75,778860
PVC,76.2,2.11,6.04,4.09,20.81,13328
Carbon Steel,101.6,3.05,11.981,90.033,54.57,118187
PVC,38.1,3.56,6.015,3.325,18.98,10111
Stainless Steel 304,38.1,2.77,9.006,22.038,52.99,108095
Stainless Steel 304,25.4,2.77,8.998,14.148,51.52,73470
Stainless Steel 304,76.2,3.05,8.974,50.381,59.7,237881
PVC,101.6,3.05,2.974,3.893,16.69,11520
HDPE,25.4,2.77,11.991,2.224,35.94,10724
Stainless Steel 316,38.1,1.65,12.022,18.386,66.75,112319
Stainless Steel 304,76.2,2.11,8.966,35.549,52.98,170684
Stainless Steel 316,50.8,1.65,6.05,12.334,38.55,74492
Carbon Steel,76.2,5.16,12.024,108.13,60.13,140119
PVC,38.1,2.77,6.001,2.605,18.75,9143
Stainless Steel 304,38.1,2.77,8.983,21.922,50.21,108476
Carbon Steel,152.4,3.4,6.006,76.224,37.87,99131
PVC,25.4,2.77,2.953,0.814,12.11,3281
PVC,203.2,7.04,8.953,55.466,38.21,128388
HDPE,25.4,3.38,6.03,1.32,20.09,6110
HDPE,25.4,1.65,11.972,1.382,30.4,8825
Stainless Steel 316,254.0,4.78,2.971,89.124,43.36,498557
Carbon Steel,101.6,5.74,3.039,41.691,26.34,55187
Stainless Steel 304,304.8,3.4,9.031,233.9,65.61,1064046
Stainless Steel 304,25.4,2.77,12.022,19.272,64.63,99069
Copper,101.6,2.11,8.972,53.002,46.72,644265
Stainless Steel 316,50.8,2.77,5.957,19.951,41.86,116690
Stainless Steel 304,101.6,2.11,6.036,31.425,41.06,148609
Copper,76.2,5.16,11.984,123.209,65.72,1491077
Carbon Steel,101.6,2.11,11.962,62.033,52.88,83983
Stainless Steel 304,50.8,1.65,2.996,6.083,19.74,31772
Carbon Steel,76.2,5.16,9.013,81.461,41.54,104693
HDPE,38.1,2.77,2.97,0.858,13.12,3991
Stainless Steel 316,38.1,1.65,11.957,18.199,64.43,111309
Copper,50.8,3.91,12.027,62.729,66.9,764298
Stainless Steel 304,203.2,7.04,8.95,311.505,66.61,1413760
Carbon Steel,38.1,3.56,8.955,26.707,39.59,38762
Stainless Steel 304,101.6,2.11,3.024,15.839,26.28,75363
Stainless Steel 316,76.2,3.05,3.035,17.088,26.32,98092
Carbon Steel,76.2,2.11,9.026,34.404,41.23,48223
Carbon Steel,101.6,5.74,8.983,122.511,45.0,155645
Stainless Steel 304,38.1,3.56,8.989,27.804,56.17,135041
PVC,203.2,2.77,9.003,22.123,32.76,54000
PVC,50.8,1.65,2.957,1.049,11.63,3459
Stainless Steel 304,152.4,3.4,5.989,77.23,47.87,357166
Carbon Steel,25.4,1.65,8.989,8.668,35.31,16628
Stainless Steel 316,25.4,1.65,8.964,8.924,49.03,57693
Stainless Steel 304,101.6,2.11,11.977,63.473,66.06,297266
Carbon Steel,152.4,3.4,11.996,149.253,56.97,189008
Carbon Steel,25.4,2.77,9.044,14.125,36.27,23838
Copper,38.1,2.77,3.023,8.379,22.28,104583
Copper,152.4,3.4,2.971,42.276,31.04,513215
PVC,25.4,2.77,8.953,2.493,26.87,10886
Copper,50.8,3.91,8.99,46.61,49.42,567692
Stainless Steel 316,25.4,3.38,8.993,16.649,53.72,100863
PVC,38.1,2.77,11.999,5.204,36.02,18008
Stainless Steel 316,152.4,3.4,8.998,116.172,61.93,650209
Stainless Steel 316,38.1,2.77,3.032,7.462,22.24,45840
PVC,203.2,2.77,12.048,29.312,39.28,71605
HDPE,254.0,8.56,8.961,56.228,42.2,108836
Stainless Steel 316,76.2,2.11,6.049,23.918,40.68,138675
Galvanized Steel,38.1,1.65,9.013,13.247,41.52,27314
HDPE,38.1,3.56,5.979,2.197,20.59,7526
Carbon Steel,50.8,1.65,3.014,6.076,16.64,10334
Carbon Steel,76.2,5.16,2.956,26.787,23.44,35970
HDPE,38.1,1.65,12.029,2.161,34.31,9619
Stainless Steel 304,76.2,3.05,9.023,50.657,55.79,237613
PVC,50.8,2.77,11.969,7.021,38.39,22028
Carbon Steel,38.1,1.65,12.015,17.921,46.86,29294
Galvanized Steel,101.6,5.74,3.02,40.743,32.87,66122
Carbon Steel,101.6,3.05,8.976,66.753,40.0,87582
Stainless Steel 304,25.4,3.38,2.982,5.666,23.58,29216
Carbon Steel,203.2,3.96,12.045,238.288,58.79,296419
Carbon Steel,38.1,2.77,6.003,14.5,26.96,22537
Stainless Steel 304,152.4,6.35,8.995,209.864,69.84,957128
HDPE,25.4,2.77,8.957,1.659,29.45,7384
Carbon Steel,25.4,2.77,2.953,4.544,17.28,8408
Stainless Steel 316,25.4,3.38,3.011,5.608,26.71,36327
Stainless Steel 304,101.6,5.74,6.036,86.237,46.63,396241
Stainless Steel 304,50.8,1.65,5.957,12.267,34.13,60900
Stainless Steel 304,38.1,2.77,2.993,7.506,24.14,37829
Carbon Steel,25.4,3.38,6.036,11.147,28.86,18928
Carbon Steel,25.4,1.65,3.033,2.941,15.9,6279
Carbon Steel,25.4,3.38,12.013,22.309,49.57,35431
HDPE,38.1,3.56,11.969,4.435,34.99,13448
Stainless Steel 304,25.4,1.65,9.001,8.835,46.08,47567
Copper,25.4,3.38,2.99,6.24,22.59,79737
Carbon Steel,50.8,1.65,3.009,6.035,18.04,10899
Stainless Steel 304,25.4,3.38,5.988,11.2,38.24,58298
PVC,25.4,1.65,6.032,1.038,18.24,6537
Stainless Steel 304,152.4,3.4,11.983,153.665,76.65,704974
Carbon Steel,254.0,3.4,2.967,62.191,26.96,79712
HDPE,203.2,7.04,11.96,49.58,46.91,97280
Carbon Steel,101.6,3.05,8.993,65.774,37.76,86036
Carbon Steel,38.1,3.56,9.023,27.47,40.8,39642
Stainless Steel 304,152.4,2.77,9.029,94.573,57.75,436306
Carbon Steel,50.8,3.91,3.04,13.624,20.34,19379
PVC,25.4,1.65,5.977,1.029,15.84,6467
Stainless Steel 304,76.2,3.05,2.958,16.852,27.3,80858
HDPE,152.4,6.35,12.02,33.074,42.7,67863
Stainless Steel 316,38.1,1.65,5.972,9.098,36.95,55240
Carbon Steel,304.8,4.78,2.998,105.349,34.45,132104
Copper,76.2,3.05,6.047,38.268,38.71,465853
Stainless Steel 304,50.8,3.91,9.022,42.287,53.86,200118
HDPE,203.2,7.04,9.013,37.221,41.64,74288
Stainless Steel 304,38.1,2.77,8.974,22.31,49.86,110083
Stainless Steel 304,38.1,3.56,2.983,9.176,24.88,45597
Stainless Steel 304,254.0,8.56,2.987,154.646,50.3,704134
Stainless Steel 316,101.6,2.11,11.996,62.658,67.63,357096
Stainless Steel 304,38.1,1.65,12.028,18.503,60.39,93649
Stainless Steel 316,50.8,3.91,3.022,13.919,28.33,81473
Stainless Steel 304,25.4,3.38,6.001,11.202,36.26,56201
Stainless Steel 304,25.4,2.77,11.965,19.233,64.09,98248
Carbon Steel,304.8,9.53,8.972,623.004,65.54,759745
Stainless Steel 304,38.1,1.65,3.048,4.555,19.89,23904
Carbon Steel,76.2,3.05,6.034,32.786,30.22,45187
PVC,152.4,2.77,5.987,11.071,23.53,28093
Carbon Steel,50.8,3.91,11.982,53.502,48.71,72615
Carbon Steel,50.8,1.65,8.984,17.827,35.49,27824
Carbon Steel,101.6,2.11,6.039,31.617,27.91,42814
Copper,25.4,3.38,8.956,18.792,48.42,233523
Carbon Steel,38.1,2.77,9.043,21.414,39.16,31263
HDPE,101.6,2.11,6.037,3.839,21.16,10672
Carbon Steel,203.2,7.04,12.046,407.223,65.84,500381
Stainless Steel 304,38.1,2.77,11.987,29.562,68.95,144485
Carbon Steel,38.1,2.77,12.035,28.746,47.07,44390
Stainless Steel 304,50.8,3.91,12.036,55.863,76.43,265505
HDPE,38.1,1.65,12.012,2.134,35.32,9919
Stainless Steel 316,38.1,1.65,3.019,4.506,23.9,28415
Carbon Steel,25.4,1.65,9.034,8.784,33.92,16385
HDPE,76.2,5.16,9.049,9.993,33.64,24354
Stainless Steel 316,50.8,1.65,6.037,12.471,39.85,75590
HDPE,101.6,5.74,8.965,14.849,32.79,33072
Carbon Steel,254.0,4.78,12.044,352.272,58.54,432895
Stainless Steel 304,152.4,2.77,9.017,94.583,58.0,435940
Carbon Steel,203.2,3.96,11.986,235.276,57.08,291982
HDPE,76.2,2.11,11.972,5.587,35.31,16733
Stainless Steel 304,38.1,2.77,9.017,22.222,53.76,110814
Copper,254.0,8.56,8.97,529.659,75.1,6369369
HDPE,38.1,2.77,5.977,1.743,19.94,6427
Stainless Steel 316,101.6,5.74,5.964,83.123,53.21,466692
Stainless Steel 304,76.2,3.05,12.021,67.304,73.37,316058
Stainless Steel 304,76.2,5.16,6.004,55.748,43.71,258010
Carbon Steel,25.4,2.77,9.006,13.806,38.12,22433
PVC,76.2,5.16,9.018,14.659,33.7,37690
Carbon Steel,50.8,2.77,2.991,9.862,18.97,15382
PVC,38.1,2.77,6.003,2.612,19.9,9191
Carbon Steel,25.4,3.38,6.001,10.838,31.51,19215
Stainless Steel 304,101.6,3.05,9.02,68.031,56.03,316172
Galvanized Steel,203.2,7.04,9.048,304.668,63.25,468171
PVC,38.1,2.77,3.034,1.303,11.93,4638
HDPE,50.8,1.65,8.965,2.169,27.2,8868
Copper,50.8,1.65,9.008,20.301,48.77,252075
PVC,76.2,2.11,6.024,4.187,20.61,12256
Stainless Steel 316,25.4,3.38,5.981,11.178,39.57,68530
HDPE,76.2,3.05,8.969,5.962,26.9,16216
HDPE,76.2,2.11,6.037,2.734,19.71,8313
Stainless Steel 316,50.8,2.77,11.96,39.565,72.87,231190
Stainless Steel 304,50.8,2.77,8.972,29.981,51.5,143742
Carbon Steel,304.8,9.53,3.013,209.342,41.81,257613
Carbon Steel,38.1,2.77,2.999,7.242,19.57,13096
Carbon Steel,25.4,1.65,12.039,11.703,43.76,22140
Stainless Steel 304,50.8,1.65,9.027,18.123,51.59,91344
Carbon Steel,76.2,2.11,2.95,11.307,18.12,16305
Carbon Steel,25.4,3.38,11.953,22.085,50.3,35282
Copper,152.4,6.35,5.979,155.362,49.55,1871984
Stainless Steel 316,203.2,7.04,12.014,422.824,84.7,2339833
Stainless Steel 316,254.0,3.4,12.014,251.161,80.99,1395637
Stainless Steel 316,50.8,2.77,2.969,9.994,27.09,60576
Carbon Steel,50.8,1.65,9.04,18.184,40.01,28904
PVC,152.4,6.35,12.05,48.641,43.05,114254
Copper,76.2,3.05,6.039,37.806,37.52,460481
Galvanized Steel,38.1,2.77,3.009,7.317,20.24,14605
Stainless Steel 316,152.4,2.77,12.005,126.603,80.66,709810
Carbon Steel,50.8,2.77,8.992,29.286,37.36,41989
Stainless Steel 304,76.2,2.11,6.002,23.792,35.9,113761
Stainless Steel 304,203.2,3.96,8.977,178.996,61.62,817122
Stainless Steel 304,38.1,2.77,11.974,29.75,65.63,145383
PVC,25.4,3.38,8.986,2.937,27.93,12185
Stainless Steel 304,152.4,6.35,2.958,68.906,41.4,317741
Stainless Steel 316,76.2,5.16,5.97,54.699,46.45,309363
Copper,25.4,3.38,11.959,25.029,59.83,312044
Carbon Steel,76.2,2.11,11.983,45.941,53.51,64131
Galvanized Steel,38.1,1.65,12.016,17.962,53.72,36213
Stainless Steel 316,50.8,1.65,3.034,6.109,20.98,38605
Galvanized Steel,25.4,1.65,3.042,2.939,18.51,7034
Carbon Steel,38.1,1.65,2.998,4.495,16.08,7075
Carbon Steel,25.4,2.77,8.997,14.032,34.77,22634
HDPE,38.1,2.77,11.996,3.485,35.72,12532
Stainless Steel 304,76.2,5.16,5.973,55.024,44.14,256126
Stainless Steel 304,25.4,1.65,8.962,8.911,46.24,48200
HDPE,101.6,2.11,3.033,1.869,13.94,6260
Carbon Steel,254.0,8.56,6.019,312.261,47.25,383554
Copper,254.0,8.56,11.961,710.164,93.12,8538429
Galvanized Steel,38.1,2.77,9.0,21.836,40.92,40256
Stainless Steel 316,76.2,2.11,5.979,23.43,42.41,136166
HDPE,38.1,1.65,5.999,1.091,18.57,4785
Stainless Steel 316,50.8,3.91,6.048,27.521,39.99,158155
Carbon Steel,38.1,2.77,11.973,28.727,44.82,42614
Stainless Steel 304,25.4,3.38,9.011,16.647,52.07,83795
HDPE,38.1,1.65,6.016,1.072,17.41,4307
HDPE,101.6,3.05,6.006,5.382,21.04,13948
Stainless Steel 316,38.1,2.77,11.992,29.221,70.56,173166
Copper,203.2,3.96,9.032,199.042,58.38,2400334
Stainless Steel 304,76.2,3.05,12.012,67.909,67.28,317373
Carbon Steel,50.8,3.91,9.023,40.525,42.88,57341
Stainless Steel 316,25.4,2.77,2.997,4.672,26.17,29878
Copper,76.2,5.16,8.965,93.107,49.04,1126020
Stainless Steel 304,76.2,3.05,5.987,33.707,40.83,159351
Stainless Steel 316,38.1,2.77,8.994,22.277,56.7,132691
Carbon Steel,50.8,3.91,6.028,27.354,30.17,37462
HDPE,50.8,3.91,6.042,3.35,19.79,9552
Carbon Steel,38.1,2.77,11.983,29.276,48.44,43931
Carbon Steel,25.4,3.38,2.959,5.442,18.49,9555
Carbon Steel,25.4,2.77,11.978,18.378,49.98,29874
PVC,152.4,2.77,12.041,22.204,40.47,57330
Stainless Steel 316,50.8,1.65,12.027,25.075,62.83,148978
Carbon Steel,152.4,3.4,11.974,148.242,56.22,188357
Carbon Steel,50.8,2.77,5.958,19.359,28.22,27844
Stainless Steel 316,101.6,2.11,9.046,48.044,58.87,274321
Stainless Steel 316,50.8,3.91,6.035,27.382,44.96,158560
Stainless Steel 316,25.4,3.38,5.953,10.872,39.78,66796
Stainless Steel 304,50.8,1.65,5.982,12.062,33.2,59831
Copper,101.6,5.74,5.964,91.176,44.69,1102763
Stainless Steel 304,101.6,3.05,8.977,67.758,58.39,315566
Stainless Steel 316,25.4,2.77,3.012,4.734,23.26,29999
Stainless Steel 304,50.8,1.65,9.031,18.224,53.09,91038
HDPE,152.4,6.35,2.999,8.195,22.77,18674
HDPE,50.8,2.77,11.988,4.781,36.26,15205
Carbon Steel,203.2,7.04,12.009,409.939,65.36,503678
Copper,76.2,3.05,11.954,76.547,59.62,929719
Carbon Steel,50.8,1.65,11.984,23.99,49.43,38023
PVC,38.1,2.77,12.007,5.192,33.79,16898
Stainless Steel 316,38.1,3.56,6.025,18.577,44.5,110127
PVC,38.1,3.56,3.011,1.633,13.34,5502
HDPE,203.2,2.77,3.048,5.138,18.6,12648
Carbon Steel,152.4,2.77,9.026,93.134,43.65,119707
Carbon Steel,38.1,3.56,6.034,18.157,30.42,27788
Carbon Steel,25.4,3.38,5.991,10.766,28.77,18250
Carbon Steel,101.6,5.74,11.963,164.097,57.28,207842
Carbon Steel,101.6,5.74,12.019,163.047,61.64,206197
PVC,50.8,3.91,11.966,9.569,35.86,27016
Galvanized Steel,76.2,3.05,3.049,16.949,21.58,29559
Carbon Steel,203.2,3.96,9.039,178.336,43.2,221870
Galvanized Steel,76.2,2.11,8.962,34.625,41.83,59612
Carbon Steel,25.4,2.77,5.994,9.291,25.12,13958
Carbon Steel,152.4,6.35,12.04,276.041,59.06,342148
Copper,38.1,1.65,2.979,5.051,16.66,63913
PVC,304.8,3.4,12.037,54.016,46.22,127398
PVC,38.1,3.56,5.977,3.265,21.15,12080
PVC,152.4,3.4,12.049,26.545,40.44,66002
HDPE,304.8,9.53,3.037,25.76,32.07,51955
Stainless Steel 316,76.2,5.16,11.992,110.888,76.83,623226
PVC,101.6,2.11,3.024,2.751,13.28,8475
HDPE,25.4,1.65,2.971,0.347,10.85,2022
Stainless Steel 316,25.4,1.65,8.981,8.752,50.67,57617
Carbon Steel,50.8,2.77,2.97,9.69,19.26,14745
Stainless Steel 316,38.1,3.56,8.994,27.406,56.95,160587
Stainless Steel 316,203.2,2.77,11.976,165.369,90.37,926626
Copper,152.4,6.35,5.985,160.06,51.52,1930548
Stainless Steel 316,304.8,4.78,6.002,214.206,65.48,1189589
Stainless Steel 304,50.8,2.77,11.961,39.449,62.97,188642
PVC,254.0,4.78,3.022,15.894,24.02,39206
Carbon Steel,50.8,3.91,3.009,13.407,21.02,20739
Carbon Steel,25.4,1.65,3.038,2.93,14.44,6374
Stainless Steel 304,25.4,1.65,6.032,5.909,29.65,31580
Stainless Steel 316,76.2,5.16,11.968,109.318,84.44,616341
Carbon Steel,50.8,2.77,8.968,29.902,37.41,42596
HDPE,101.6,3.05,9.042,8.03,29.57,19783
Stainless Steel 304,25.4,1.65,12.014,11.885,63.28,64844
PVC,25.4,1.65,12.012,2.054,30.34,10354
Galvanized Steel,152.4,6.35,2.973,68.056,35.04,108746
Carbon Steel,25.4,1.65,3.019,2.914,15.23,6521
Carbon Steel,152.4,3.4,11.977,151.082,55.45,190559
Stainless Steel 304,25.4,2.77,9.004,14.267,51.27,73202
HDPE,152.4,3.4,11.998,18.486,38.2,39755
Carbon Steel,152.4,3.4,12.005,152.031,58.46,192948
Carbon Steel,152.4,2.77,11.971,121.772,53.61,155662
Stainless Steel 304,101.6,2.11,12.038,63.879,61.97,298632
Stainless Steel 304,76.2,5.16,2.966,27.625,30.87,130323
Stainless Steel 304,50.8,3.91,3.038,14.043,29.11,68620
Carbon Steel,38.1,2.77,2.971,7.017,18.91,11814
Copper,38.1,2.77,6.031,16.654,33.69,206271
Copper,38.1,3.56,6.048,21.3,32.66,260609
Carbon Steel,101.6,5.74,5.973,81.148,37.33,103188
PVC,38.1,3.56,8.964,4.878,27.38,15278
Galvanized Steel,101.6,3.05,9.015,66.568,43.72,107034
Stainless Steel 316,38.1,3.56,9.016,27.803,53.09,162149
HDPE,76.2,5.16,2.954,3.21,15.96,8976
HDPE,76.2,5.16,5.989,6.455,23.34,15219
Carbon Steel,25.4,3.38,2.956,5.454,18.98,10734
Stainless Steel 316,203.2,3.96,5.992,117.7,54.63,656601
Stainless Steel 304,76.2,5.16,2.972,27.701,32.78,130152
PVC,25.4,1.65,3.046,0.525,10.8,3502
Stainless Steel 304,25.4,3.38,12.041,22.711,69.05,115562
Carbon Steel,254.0,3.4,2.988,62.451,30.83,80811
Stainless Steel 316,76.2,3.05,11.963,66.657,75.81,379318
Carbon Steel,50.8,2.77,9.044,29.563,36.62,41768
HDPE,50.8,3.91,11.967,6.582,38.63,19344
PVC,25.4,1.65,5.984,1.044,16.8,4674
Carbon Steel,25.4,3.38,3.009,5.529,19.02,10102
Carbon Steel,101.6,5.74,3.043,41.226,28.13,55159
Stainless Steel 304,101.6,5.74,2.975,41.009,34.89,190382
HDPE,76.2,3.05,11.987,8.04,36.52,20062
Galvanized Steel,25.4,3.38,11.999,21.586,62.42,44263
Carbon Steel,203.2,2.77,5.976,82.371,35.95,105808
Carbon Steel,38.1,2.77,3.016,7.127,18.62,11560
Stainless Steel 304,152.4,6.35,3.027,70.358,42.51,324565
Carbon Steel,38.1,1.65,5.981,8.929,25.78,15675
Carbon Steel,50.8,2.77,3.046,9.851,19.61,14954
Copper,38.1,1.65,9.035,15.622,44.06,195760
PVC,25.4,1.65,2.951,0.513,9.8,2662
Carbon Steel,101.6,3.05,9.039,66.665,40.83,86360
Stainless Steel 304,152.4,3.4,5.991,76.361,46.04,352006
Copper,38.1,1.65,9.035,15.25,42.06,190123
HDPE,304.8,9.53,2.973,25.141,30.31,51526
Carbon Steel,25.4,3.38,12.042,22.387,53.34,36111
Copper,76.2,3.05,2.954,18.318,22.9,224694
PVC,152.4,2.77,12.011,21.979,42.02,55275
Stainless Steel 304,38.1,2.77,12.044,29.381,63.38,143397
PVC,50.8,1.65,5.966,2.133,19.36,8444
PVC,101.6,3.05,9.037,11.936,28.83,30773
Galvanized Steel,50.8,2.77,2.992,9.588,20.42,18330
Carbon Steel,76.2,5.16,11.97,106.673,53.93,138370
Copper,76.2,2.11,5.981,26.682,35.04,326377
Stainless Steel 304,76.2,3.05,11.968,66.068,70.74,309797
Carbon Steel,50.8,2.77,2.958,9.754,19.19,14870
Carbon Steel,25.4,2.77,12.024,18.353,51.55,32022
Stainless Steel 316,203.2,3.96,3.032,60.823,43.75,342042
Carbon Steel,38.1,2.77,3.032,7.266,16.32,11247
Stainless Steel 304,38.1,2.77,9.009,22.212,47.67,108133
Copper,38.1,2.77,12.045,33.609,58.07,413231
Stainless Steel 304,203.2,2.77,5.972,81.825,49.68,377281
Carbon Steel,38.1,2.77,12.049,29.782,47.16,44421
HDPE,76.2,2.11,9.006,4.164,29.87,12828
Carbon Steel,76.2,2.11,9.02,34.116,41.43,48166
Copper,38.1,1.65,9.02,15.285,48.25,191837
Carbon Steel,25.4,3.38,9.016,16.387,40.41,26850
PVC,25.4,1.65,6.002,1.043,18.43,6272
Stainless Steel 304,38.1,1.65,2.978,4.484,19.57,23298
PVC,76.2,3.05,3.049,2.981,15.35,9818
Stainless Steel 316,76.2,3.05,6.027,33.851,46.51,194764
Carbon Steel,38.1,1.65,5.998,8.877,28.12,16004
Carbon Steel,38.1,2.77,2.974,7.045,18.18,11873
HDPE,152.4,2.77,8.973,10.984,33.39,25465
Galvanized Steel,76.2,3.05,8.954,48.94,46.94,82327
Carbon Steel,38.1,3.56,5.972,18.15,29.65,27205
Carbon Steel,203.2,3.96,5.999,114.916,37.03,144520
Stainless Steel 316,101.6,3.05,9.011,67.902,63.71,384376
Galvanized Steel,38.1,2.77,5.996,14.275,31.61,26491
Galvanized Steel,101.6,5.74,11.969,160.745,66.05,252271
Carbon Steel,38.1,2.77,5.989,14.58,26.45,21491
Galvanized Steel,38.1,1.65,9.032,13.567,40.76,27625
Stainless Steel 316,76.2,2.11,12.04,46.947,66.15,270116
Stainless Steel 304,25.4,2.77,2.95,4.652,22.47,24465
Copper,50.8,2.77,6.014,22.638,33.57,278685
Stainless Steel 304,25.4,1.65,6.043,5.962,34.37,32863
Stainless Steel 304,76.2,5.16,5.997,55.21,49.53,257343
Stainless Steel 304,152.4,3.4,8.953,114.487,57.36,524609
Galvanized Steel,76.2,2.11,11.993,44.908,53.57,77039
Stainless Steel 304,254.0,8.56,11.96,630.572,89.01,2853649
Stainless Steel 304,101.6,5.74,2.967,40.762,33.36,189984
Stainless Steel 316,152.4,6.35,5.969,138.706,60.09,773248
Carbon Steel,76.2,5.16,12.037,110.072,55.64,142076
Stainless Steel 304,101.6,3.05,12.005,91.397,59.03,421710
Copper,38.1,2.77,5.976,16.123,37.01,198948
Stainless Steel 304,152.4,6.35,8.999,209.458,64.82,953942
HDPE,50.8,3.91,8.976,4.87,28.22,14414
PVC,101.6,3.05,6.037,7.856,23.4,21502
Carbon Steel,203.2,3.96,12.037,231.409,62.47,289155
Copper,25.4,1.65,5.973,6.545,28.03,83957
Copper,76.2,2.11,5.978,26.359,32.81,321978
PVC,50.8,2.77,5.959,3.437,19.7,10079
Stainless Steel 304,38.1,3.56,11.998,37.923,67.07,182024
Stainless Steel 316,25.4,3.38,5.974,11.084,38.92,67502
